unit_name,asa,background,fur,skin,eyes,posture,clothing,hats,item,accessories,rarity_score,rank,name
AGA148,384694585,Light Grey and Yellow,Yellow,Pink,Normal,"Arm down, smiling",,Silver Dreads,,Green Lasers,268.75929011130506,38,AlgorillaArmy#148
AGA49,377753179,Grey and Green,Normal,Red,Normal,Arm up,Black Sports Bra,Silver Dreads,Pink Gold Selfiestick,White Shudder Shades,268.7169552652306,39,AlgorillaArmy#49
AGA202,384770971,Light Blue and Deep Blue,Zebra,Normal,Blue,Arm up,White Tanktop,Silver Dreads,Gold Selfiestick,Yellow Shutter Shades,268.4055612394836,40,AlgorillaArmy#202
AGA299,410694029,Sky Blue and White,Silver,Normal,Normal,"Arm up, smiling",White Spacesuit,,Gold Bar,Black Eyepatch,267.8629492635667,41,AlgorillaArmy#299
AGA306,426009797,Grey and Green,Blue Lava,Purple,Normal,Arm down,Purple Hawaiian Shirt,Blue Dreads,,White Shudder Shades,267.36951748780035,42,AlgorillaArmy#306
AGA307,426016590,Sky Blue and White,Blue Lava,Normal,Purple,Arm down,,Gold Dreads,,Blue Shutter Shades,265.55059023362725,43,AlgorillaArmy#307
AGA985,545208432,Bright Pink and Purple,Red,Normal,Yellow,"Arm up, smiling",Light Blue Tanktop,Green Banana Hat,Cutlass,Silver Algo Necklace,265.25191888579934,44,AlgorillaArmy#985
AGA1,377671420,Grey and Green,Purple,Gold,Normal,Arm up,Purple Hawaiian Shirt,Purple Dreads,Microphone,,263.77306122946374,45,AlgorillaArmy#1
AGA519,545071303,White and Pink,Lava,Green,Green,Arm up,Pink Sports Bra,Red Backwards Cap,Plunger,Yellow Shutter Shades,263.0848627739514,46,AlgorillaArmy#519
AGA117,384654600,White and Orange,Blue,Pink,Pink,Arm up,White Spacesuit,Silver Crown,Microphone,Yellow Shutter Shades,260.6742637403685,47,AlgorillaArmy#117
AGA7,377682722,Light Grey and Yellow,Rainbow,Gold,Normal,Arm down,,Gold Crown,,Morpheus Glasses,260.49459276781823,48,AlgorillaArmy#7
AGA450,545038038,Purple and Light Green,Lava,Normal,Normal,Arm up,Suit Red Tie,Rainbow Afro,Red Cocktail,,258.94997405343537,49,AlgorillaArmy#450
AGA91,379147413,Light Blue and Deep Blue,Purple,Green,Green,Arm up,Gold Suit,Green Fishing Hat,Banana,,255.71160209762655,50,AlgorillaArmy#91
AGA905,545197359,Purple and Light Green and White Radial,Normal,Normal,Pink,Arm up,Orange Hawaiian Shirt,Green Banana Hat,Microphone,Aviators,254.83982317713213,51,AlgorillaArmy#905
